id,brand,name,year,cpu_rank,cpu,ram,disk,is_rtx,gpu,gpu_memory,price,disk_detail,weight,weight_type,battery,battery_life,screen_size,has_camere,keyboard_haslight,keyboard,video_type,thin_type,business_type,game_type,is_apple,description,link,img_src,class
367,msi微星,msi微星GP75 Leopard,2019,7,Intel 酷睿i7 9750H,16,256GB+1T,RTX2060,NVIDIA GeForce RTX 2060,6,0,混合硬盘（SSD+7200转HDD）>,2.6Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,17.3,TRUE,1,赛睿单键多彩背光键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1272/1271295/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0F/0B/ChMlWVzTxESIRCcDAADW67hb2JgAAJ4kgIcFjUAANcD251.jpg,2
368,ROG,ROG 魔霸3 PLUS,2019,7,Intel 酷睿i7 9750H,16,1T,0,NVIDIA Geforce GTX 1660Ti,6,0,SSD固态硬盘>,3.5Kg,heavy,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,1,全尺寸RGB背光键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1297/1296463/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g1/M02/00/0B/ChMljl2lYrqIeE1YAAGGX6rCboIAAP-egJh9iUAAYZ3177.jpg,2
369,华硕,华硕ProArt G17 i7,2020,7,Intel 酷睿i7 9750H,32,2T,RTX2060,NVIDIA GeForce RTX 2060,6,20999,SSD固态硬盘>,2g,0,视具体使用环境而定长续航笔记本>,0,0,TRUE,0,NO SPECIAL,0,0,0,0,0,"创意设计PC,",http://detail.zol.com.cn/1329/1328222/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g3/M04/00/05/ChMlWF7q-YCIfNooAAFJARnqhHwAAU6pwM6BcoAAUkZ383.jpg,3
370,HUAWEI,华为HUAWEI MateBook B3-410,2020,7,Intel 酷睿i7 10510U,8,512GB,0,Intel UHD Graphics 620,0,0,SSD固态硬盘>,1.38Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,1,全尺寸键盘>，背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1333/1332869/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/00/06/ChMkKV8ZChWIW4-TAADSYDgaFSAAAABtQFnYEAAANJ4726.jpg,2
371,火影,火影T5V R5,2020,5,AMD Ryzen 5 4600H,8,512GB,0,NVIDIA GeForce GTX 1650,4,4699,SSD固态硬盘>,2Kg,0,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,背光键盘，全尺寸键盘（包含独立数字键盘）,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1333/1332012/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/0A/ChMlWV8PzBKIPUcAAAF0VEpl5bcAAP_pwJstRgAAXRs512.jpg,0
372,机械革命,机械革命X9Ti-R i7/16GB/512GB+1TB/RTX2060,2019,7,Intel 酷睿i7 9750H,16,512GB+1TB,RTX2060,NVIDIA GeForce RTX 2060,6,9599,混合硬盘（PCIE SSD+5400转HDD）,2.5Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,17.3,TRUE,0,机械键盘>,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1268/1267867/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0D/ChMlWly0TMGIS07wAADMj-28u0YAAJdQgCcEesAAMyn561.jpg,4
373,Razer,雷蛇Razer 灵刃15标准版2020 i7,2020,7,Intel 酷睿i7 10750H,16,512GB,RTX2060,NVIDIA GeForce RTX 2060,6,13899,SSD固态硬盘>,2.1Kg,heavy,6小时左右，视具体使用环境而定长续航笔记本>,long,15.6,TRUE,1,幻彩背光键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1322/1321876/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/00/0E/ChMlWV6yl4WIFtxVAAEE-dIUFm4AAO42wDyZxUAAQUR131.jpg,3
374,惠普,惠普ENVY 13 Wood,2019,7,Intel 酷睿i7 10510U,16,512GB,0,NVIDIA GeForce MX250,2,0,SSD固态硬盘>,1.2Kg,medium,20小时左右，视具体使用环境而定长续航笔记本>,long,13.3,TRUE,1,全尺寸键盘>，背光键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1303/1302939/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/0F/03/ChMkJ13krj6IZUvoAAFOVMtK0nEAAviLwHca84AAU5s094.jpg,2
375,雷神,雷神911ST暗杀星2代 i7,2019,7,Intel 酷睿i7-10750H,8,512GB,RTX2060,NVIDIA GeForce RTX 2060,6,8299,SSD固态硬盘>,2.5Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,多彩背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1318/1317552/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/0F/ChMlWl6FsvKICd1DAAD3y9bAV34AAOBPQG81SsAAPfj360.jpg,4
376,戴尔,戴尔Latitude 14 7400,2019,5,Intel 酷睿i5 8265U,8,256GB,0,Intel GMA UHD 620,0,0,PCIe NVMe Class 40固态硬盘,1.36Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,1,单指点防泼溅背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1278/1277253/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/0F/ChMlWlzuNieITkueAAGR1TnmcgIAAKRowIJt9QAAZHt784.jpg,2
377,ThinkPad,ThinkPad X390 Yoga,2019,7,Intel 酷睿i7 8565U,16,1T,0,Intel GMA UHD 620,0,10999,PCIe NVMe SSD固态硬盘,1.29Kg,medium,14.5小时左右，视具体使用环境而定长续航笔记本>,long,13.3,TRUE,1,全尺寸背光键盘,0,1,1,0,0,"商务办公本,轻薄笔记本,",http://detail.zol.com.cn/1259/1258213/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/08/ChMlWlz076KIEJm-AAEUE8VXMD8AAKfsgF3O-cAARQr953.jpg,4
378,Acer,Acer ConceptD 3,2019,5,Intel 酷睿i5 9300H,16,512GB,0,NVIDIA GeForce GTX 1650,4,0,SSD固态硬盘>,2.5Kg,heavy,5-8小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,背光键盘（琥珀色背光）,0,0,1,0,0,"商务办公本,创意设计PC,",http://detail.zol.com.cn/1300/1299053/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/04/0E/ChMlWV2_vmKIczQbAAFOL5Zv2coAANJKgPAKesAAU5H692.jpg,2
379,戴尔,戴尔XPS 13微边框 XPS,2019,5,Intel 酷睿i5 10210U,8,512GB,0,Intel UHD,0,8888,固态硬盘,1.23Kg,medium,视具体使用环境而定长续航笔记本>,0,13.3,TRUE,0,全尺寸键盘>,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1293/1292221/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g4/M06/06/07/ChMly114a2aIYvBPAAD13vPrLDYAAXoJwFaVYkAAPX2996.jpg,4
380,联想,联想扬天 威6 Pro-14,2019,5,Intel 酷睿i5 8265U,8,256GB,0,AMD Radeon R540X,2,3899,SSD固态硬盘>,1.5Kg,medium,9小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1289/1288255/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0A/04/ChMlWV1SjtKIeqG3AADqz8QUc1EAAMiagNPOCcAAOrn202.jpg,0
381,惠普,惠普幻影精灵 X,2019,7,Intel 酷睿i7 9750H,16,2×512G,RTX2080,NVIDIA GeForce RTX 2080 MAX-Q,8,0,M.2 PCIe SSD,2.5Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,RGB背光键盘，1680万种颜色,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1274/1273970/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/0B/ChMlWlz_E1WINAELAAE7SuzAXD8AAKwlwLUvlMAATti476.jpg,2
382,msi微星,msi微星强袭GE75 10SFS-071CN,2020,9,Intel 酷睿i9 10980HK,16,512GB+1TB,RTX2070,NVIDIA GeForce RTX 2070 SUPER,8,17999,混合硬盘（SSD+7200转HDD）>,2.6Kg,heavy,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,0,多彩RGB游戏键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1320/1319450/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0A/ChMlWV6YI0OILQlaAAESZMnyg4oAAOXvgIDt18AARJ8746.jpg,3
383,戴尔,戴尔灵越 14 3000系列,2019,5,Intel 酷睿i5 8265U,4,1T,0,AMD Radeon 520,2,0,5400转>,1.66Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,0,全尺寸防泼溅键盘,1,0,0,0,0,"影音娱乐本,校园学生本,",http://detail.zol.com.cn/1252/1251170/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/02/0B/ChMkJ1w9S4aIXn1hAACbI2UmGmsAAuZBQGHfukAAJs7524.jpg,2
